"Name","dummy","transformer_model","test_score"
"rosy-sweep-10","1","bert-base-uncased","0.2531527323680523"
"deft-sweep-11","1","bert-base-uncased","0"
"fanciful-sweep-9","1","bert-base-uncased",""
"chocolate-sweep-8","1","bert-base-uncased","0.29449715370018975"
"zany-sweep-7","1","bert-base-uncased",""
"electric-sweep-6","0","bert-base-uncased","0.2028443113772455"
"worldly-sweep-5","0","bert-base-uncased",""
"dulcet-sweep-4","0","bert-base-uncased",""
"tough-sweep-3","0","bert-base-uncased","0.1828278513455788"
"vocal-sweep-2","0","bert-base-uncased",""
"leafy-sweep-1","0","bert-base-uncased",""
"magic-sweep-60","9","bert-base-uncased","0.45299843947387974"
"dainty-sweep-59","9","bert-base-uncased","0.6025037875767483"
"colorful-sweep-58","9","bert-base-uncased","0.49118994023131257"
"eager-sweep-57","9","bert-base-uncased","0.5053152039555007"
"logical-sweep-56","9","bert-base-uncased","0.49122807017543857"
"solar-sweep-55","9","bert-base-uncased","0.5784131280663171"
"restful-sweep-54","8","bert-base-uncased","0.5516501650165017"
"lilac-sweep-53","8","bert-base-uncased","0.4791580343084445"
"devoted-sweep-52","8","bert-base-uncased","0.5870094310921813"
"tough-sweep-51","8","bert-base-uncased","0.6070924341832074"
"dashing-sweep-50","8","bert-base-uncased","0.4218725413060582"
"still-sweep-49","8","bert-base-uncased","0.5615985819031505"
"vocal-sweep-46","7","bert-base-uncased","0.6144447234078165"
"northern-sweep-44","7","bert-base-uncased","0.32063492063492066"
"tough-sweep-43","7","bert-base-uncased","0.6021466582483991"
"skilled-sweep-42","6","bert-base-uncased","0.3476725294907113"
"divine-sweep-41","6","bert-base-uncased","0.5093621319244814"
"logical-sweep-40","6","bert-base-uncased","0.5874678111587983"
"whole-sweep-39","6","bert-base-uncased","0.6132059079061686"
"elated-sweep-38","6","bert-base-uncased","0.5697746217968509"
"true-sweep-37","6","bert-base-uncased","0.5714285714285714"
"sunny-sweep-36","5","bert-base-uncased","0.49140434884998824"
"worthy-sweep-35","5","bert-base-uncased","0.5716809894787567"
"likely-sweep-34","5","bert-base-uncased","0.4862764969174901"
"sandy-sweep-33","5","bert-base-uncased","0.6201691822856195"
"firm-sweep-32","5","bert-base-uncased","0.54858421550908"
"easy-sweep-31","5","bert-base-uncased","0.557563708657148"
"brisk-sweep-30","4","bert-base-uncased","0.4326218540936604"
"cool-sweep-29","4","bert-base-uncased","0.6061481659844289"
"flowing-sweep-28","4","bert-base-uncased","0.45646518745218057"
"gallant-sweep-27","4","bert-base-uncased","0.5853891453127487"
"earthy-sweep-26","4","bert-base-uncased","0.4876289524448545"
"leafy-sweep-25","4","bert-base-uncased","0.5089652903438066"
"efficient-sweep-24","3","bert-base-uncased","0.6021088148460565"
"stellar-sweep-23","3","bert-base-uncased","0.4031269160024525"
"atomic-sweep-22","3","bert-base-uncased","0.4320812859165487"
"cool-sweep-21","3","bert-base-uncased","0.5243921088851506"
"dashing-sweep-20","3","bert-base-uncased","0.42628475147430495"
"graceful-sweep-19","3","bert-base-uncased","0.639159272977862"
"divine-sweep-18","2","bert-base-uncased","0.4772744870305846"
"fallen-sweep-17","2","bert-base-uncased","0.4915051447714765"
"ethereal-sweep-16","2","bert-base-uncased","0.57022888193644"
"youthful-sweep-14","2","bert-base-uncased","0.5129461161651504"
"lyric-sweep-13","2","bert-base-uncased","0.40724424865394027"
"youthful-sweep-12","1","bert-base-uncased","0.5030478023740776"
"apricot-sweep-11","1","bert-base-uncased","0.5423151750972762"
"peachy-sweep-10","1","bert-base-uncased","0.5860144451739987"
"olive-sweep-9","1","bert-base-uncased","0.5474081364829396"
"lyric-sweep-8","1","bert-base-uncased","0.42590541116318703"
"brisk-sweep-7","1","bert-base-uncased","0"
"glorious-sweep-6","0","bert-base-uncased","0.5937788211620693"
"magic-sweep-5","0","bert-base-uncased","0.38581582200247216"
"smart-sweep-4","0","bert-base-uncased","0.5052116234996842"
"warm-sweep-3","0","bert-base-uncased","0.5946229050279329"
"wise-sweep-2","0","bert-base-uncased","0.604273436884018"
"sweet-sweep-1","0","bert-base-uncased","0.5975918884664132"
"comic-sweep-40","19","bert-base-uncased","0.5278496292464218"
"misty-sweep-39","19","bert-base-uncased","0.5668101697668751"
"toasty-sweep-38","18","bert-base-uncased","0.5580958880737076"
"neat-sweep-37","18","bert-base-uncased","0.6213360599863668"
"efficient-sweep-36","17","bert-base-uncased","0.4056242011077972"
"spring-sweep-34","16","bert-base-uncased","0.5402700406005099"
"eager-sweep-33","16","bert-base-uncased","0.5536405205768554"
"toasty-sweep-32","15","bert-base-uncased","0.5603796800843733"
"ancient-sweep-31","15","bert-base-uncased","0.5994667584071558"
"restful-sweep-30","14","bert-base-uncased","0.3520082744354422"
"radiant-sweep-29","14","bert-base-uncased","0.6068804873678553"
"wobbly-sweep-28","13","bert-base-uncased","0.5506471095772217"
"sweepy-sweep-27","13","bert-base-uncased","0.4259697835851368"
"icy-sweep-26","12","bert-base-uncased","0.5629989586948976"
"iconic-sweep-25","12","bert-base-uncased","0.5599862495702991"
"dutiful-sweep-23","11","bert-base-uncased","0.4859515222678856"
"prime-sweep-22","10","bert-base-uncased","0.43727794479365945"
"golden-sweep-21","10","bert-base-uncased","0.4792861695347355"
"vibrant-sweep-40","19","bert-base-uncased","0.1642156862745098"
"silver-sweep-39","19","bert-base-uncased",""
"dashing-sweep-38","18","bert-base-uncased","0.17533129459734964"
"legendary-sweep-37","18","bert-base-uncased","0.2293534686172723"
"daily-sweep-36","17","bert-base-uncased","0.15338526063511085"
"astral-sweep-35","17","bert-base-uncased","0.2336217552533993"
"floral-sweep-34","16","bert-base-uncased","0.1882673942701228"
"warm-sweep-33","16","bert-base-uncased",""
"laced-sweep-32","15","bert-base-uncased","0.29101283880171186"
"pleasant-sweep-31","15","bert-base-uncased",""
"youthful-sweep-29","14","bert-base-uncased",""
"blooming-sweep-30","14","bert-base-uncased","0.12684989429175475"
"silver-sweep-28","13","bert-base-uncased","0.2523158359064843"
"fallen-sweep-27","13","bert-base-uncased","0.26021934197407776"
"stellar-sweep-26","12","bert-base-uncased","0.2258414766558089"
"worthy-sweep-25","12","bert-base-uncased",""
"lyric-sweep-24","11","bert-base-uncased","0.21459642339294344"
"soft-sweep-23","11","bert-base-uncased","0.35532102022867196"
"fresh-sweep-22","10","bert-base-uncased","0.1893043066729768"
"light-sweep-21","10","bert-base-uncased","0.2149310508796957"
